,0,1,2,3
0,0.53650594,0.15861754,0.105624475,0.1992521
1,0.24804488,0.66874397,0.0005644731,0.08264667
2,0.48730382,0.4769215,0.0035967254,0.032177944
3,0.367567,0.5475947,0.0034873555,0.08135093
4,0.7603666,0.2311028,0.0015429188,0.006987661
5,0.72180206,0.2635709,0.0054523563,0.009174657
6,0.41092652,0.56872225,0.01330497,0.0070462823
7,0.64304715,0.35391542,0.00097064674,0.0020668579
8,0.13870032,0.63323325,0.0064072562,0.2216591
9,0.82178915,0.1461254,0.005546735,0.026538704
10,0.9354532,0.05125858,0.0131481625,0.00014008465
11,0.803866,0.14566256,0.047701873,0.0027695105
12,0.0373008,0.19576834,0.007171187,0.7597597
13,0.51788723,0.4445625,0.0035810173,0.033969298
14,0.21720946,0.40323704,0.11420673,0.26534677
15,0.6648917,0.14611223,0.025068006,0.16392796
16,0.6143757,0.024222398,0.022528023,0.3388738
17,0.44169158,0.081088014,0.11215145,0.3650689
18,0.20469263,0.49227124,0.016917283,0.2861188
19,0.3661775,0.627146,0.00082609087,0.0058503393
20,0.6220014,0.37641004,0.0005053106,0.0010831583
21,0.27252933,0.60057235,0.0008340884,0.12606423
22,0.57355535,0.32451096,0.0023930876,0.099540636
23,0.20232627,0.52124035,0.005429535,0.27100387
24,0.16793567,0.8130634,0.016421355,0.0025796392
25,0.29107732,0.702911,0.00047898717,0.0055327206
26,0.8156343,0.13651295,0.015268865,0.03258382
27,0.2847172,0.69631845,0.0012634136,0.017701035
28,0.30848795,0.58455354,0.015724448,0.09123407
29,0.26112905,0.574621,0.13645983,0.027790057
30,0.49588072,0.48331174,0.017305106,0.0035023948
31,0.55873847,0.41861126,0.0007184648,0.021931853
32,0.07272523,0.79097015,0.00033368194,0.13597088
33,0.16354086,0.5359359,0.001060907,0.29946232
34,0.069363184,0.77710086,0.00028694194,0.15324904
35,0.42334414,0.21826701,0.00283063,0.35555828
36,0.8317488,0.12043671,0.008108202,0.039706405
37,0.049063202,0.3495865,0.005470836,0.5958795
38,0.048886027,0.22517952,0.0041081067,0.7218263
39,0.20935996,0.7422158,0.0159642,0.03246006
40,0.28540936,0.7042095,0.0015171857,0.008863962
41,0.21380252,0.6868508,0.07382145,0.025525277
42,0.030834079,0.9458781,0.0009320527,0.022355797
43,0.1437225,0.80718726,0.00056349003,0.048526693
